Site,Watershed,Stream,SiteUnit,ChUnitNumber,FishCrew,SurveyType,Method,Date,Tier1,Tier2,Discharge,Temp,PercentIceCover,Species,count,Pass1.M,Pass2.C,Pass3.R
CBW05583-280042,Upper Grande Ronde,Grande Ronde River,CBW05583-280042_5,5,ODFW,Calibration,Mark Recapture,2017-11-16T17:27:00Z,Pool,NA,NA,1.5,NA,BrookTrout,0,0,0,0
CBW05583-280042,Upper Grande Ronde,Grande Ronde River,CBW05583-280042_7,7,ODFW,Calibration,Mark Recapture,2017-11-16T17:27:00Z,Pool,NA,NA,1.5,NA,BrookTrout,0,1,0,0
CBW05583-280042,Upper Grande Ronde,Grande Ronde River,CBW05583-280042_8,8,ODFW,Calibration,Depletion,2017-11-16T17:27:00Z,Run,NA,NA,1.5,NA,BrookTrout,0,1,0,NA
CBW05583-456106,Upper Grande Ronde,Catherine Creek,CBW05583-456106_0,0,ODFW,Calibration,Mark Recapture,2017-10-24T18:45:00Z,Pool,NA,NA,5,NA,BrookTrout,0,0,0,0
CBW05583-456106,Upper Grande Ronde,Catherine Creek,CBW05583-456106_1,1,ODFW,Calibration,Mark Recapture,2017-10-24T18:45:00Z,Pool,NA,NA,5,NA,BrookTrout,0,0,0,0
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_7,7,ODFW,Calibration,Depletion,2017-10-25T19:00:00Z,Riffle,NA,NA,6.5,NA,BrookTrout,0,0,0,NA
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_8,8,ODFW,Calibration,Mark Recapture,2017-10-25T19:00:00Z,Pool,NA,NA,6.5,NA,BrookTrout,0,0,0,0
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_16,16,ODFW,Calibration,Mark Recapture,2017-10-25T19:00:00Z,Run,NA,NA,6.5,NA,BrookTrout,0,0,0,0
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_17,17,ODFW,Calibration,Mark Recapture,2017-10-25T19:00:00Z,Riffle,NA,NA,6.5,NA,BrookTrout,0,0,0,0
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_18,18,ODFW,Calibration,Mark Recapture,2017-10-25T19:00:00Z,Pool,NA,NA,6.5,NA,BrookTrout,0,0,0,0
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_17,17,ODFW,Calibration,Mark Recapture,2017-10-31T18:50:00Z,Pool,NA,NA,2,NA,BrookTrout,0,1,1,1
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_19,19,ODFW,Calibration,Depletion,2017-10-31T18:50:00Z,Run,NA,NA,2,NA,BrookTrout,0,0,0,0
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_20,20,ODFW,Calibration,Mark Recapture,2017-10-31T18:50:00Z,Pool,NA,NA,2,NA,BrookTrout,1,1,1,0
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_1,1,ODFW,Calibration,Mark Recapture,2017-10-30T18:48:00Z,Pool,NA,NA,3,NA,BrookTrout,1,3,1,1
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_2,2,ODFW,Calibration,Depletion,2017-10-30T18:48:00Z,Riffle,NA,NA,3,NA,BrookTrout,0,1,1,NA
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_3,3,ODFW,Calibration,Mark Recapture,2017-10-30T18:48:00Z,Pool,NA,NA,3,NA,BrookTrout,0,0,0,0
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_14,14,ODFW,Calibration,Mark Recapture,2017-11-06T18:40:00Z,Pool,NA,NA,2,NA,BrookTrout,0,0,0,0
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_15,15,ODFW,Calibration,Mark Recapture,2017-11-06T18:40:00Z,Riffle,NA,NA,2,NA,BrookTrout,0,0,0,0
CBW05583-148970,Upper Grande Ronde,Grande Ronde River,CBW05583-148970_1,1,ODFW,Calibration,Mark Recapture,2017-10-17T19:10:00Z,Riffle,NA,NA,4,NA,Steelhead,1,11,7,5
CBW05583-148970,Upper Grande Ronde,Grande Ronde River,CBW05583-148970_2,2,ODFW,Calibration,Mark Recapture,2017-10-17T19:10:00Z,Pool,NA,NA,4,NA,Steelhead,4,7,6,4
CBW05583-148970,Upper Grande Ronde,Grande Ronde River,CBW05583-148970_3,3,ODFW,Calibration,Depletion,2017-10-17T19:10:00Z,Riffle,NA,NA,4,NA,Steelhead,1,1,0,NA
CBW05583-148970,Upper Grande Ronde,Grande Ronde River,CBW05583-148970_6,6,ODFW,Calibration,Mark Recapture,2017-10-18T19:05:00Z,Pool,NA,NA,4,NA,Steelhead,3,11,7,7
CBW05583-148970,Upper Grande Ronde,Grande Ronde River,CBW05583-148970_7,7,ODFW,Calibration,Mark Recapture,2017-10-18T19:05:00Z,Riffle,NA,NA,4,NA,Steelhead,1,8,5,4
DSGN4-000009,Upper Grande Ronde,Grande Ronde River,DSGN4-000009_6,6,ODFW,Calibration,Mark Recapture,2017-10-15T18:45:00Z,Run,NA,NA,3.5,NA,Steelhead,1,4,4,3
DSGN4-000009,Upper Grande Ronde,Grande Ronde River,DSGN4-000009_5,5,ODFW,Calibration,Mark Recapture,2017-10-16T19:02:00Z,Pool,NA,NA,2,NA,Steelhead,3,8,4,3
DSGN4-000009,Upper Grande Ronde,Grande Ronde River,DSGN4-000009_7,7,ODFW,Calibration,Mark Recapture,2017-10-16T19:02:00Z,Pool,NA,NA,2,NA,Steelhead,2,4,5,1
DSGN4-000001,Upper Grande Ronde,NF Catherine Creek,DSGN4-000001_6,6,ODFW,Calibration,Mark Recapture,2017-10-23T18:52:00Z,Pool,NA,NA,4,NA,Steelhead,31,13,21,5
DSGN4-000001,Upper Grande Ronde,NF Catherine Creek,DSGN4-000001_7,7,ODFW,Calibration,Mark Recapture,2017-10-23T18:52:00Z,Pool,NA,NA,4,NA,Steelhead,10,22,7,5
DSGN4-000001,Upper Grande Ronde,NF Catherine Creek,DSGN4-000001_8,8,ODFW,Calibration,Mark Recapture,2017-10-23T18:52:00Z,Riffle,NA,NA,4,NA,Steelhead,7,36,33,25
CBW05583-280042,Upper Grande Ronde,Grande Ronde River,CBW05583-280042_4,4,ODFW,Calibration,Depletion,2017-11-16T17:27:00Z,Riffle,NA,NA,1.5,NA,Steelhead,1,2,0,NA
CBW05583-280042,Upper Grande Ronde,Grande Ronde River,CBW05583-280042_5,5,ODFW,Calibration,Mark Recapture,2017-11-16T17:27:00Z,Pool,NA,NA,1.5,NA,Steelhead,3,3,3,3
CBW05583-280042,Upper Grande Ronde,Grande Ronde River,CBW05583-280042_7,7,ODFW,Calibration,Mark Recapture,2017-11-16T17:27:00Z,Pool,NA,NA,1.5,NA,Steelhead,3,4,5,4
CBW05583-280042,Upper Grande Ronde,Grande Ronde River,CBW05583-280042_8,8,ODFW,Calibration,Depletion,2017-11-16T17:27:00Z,Run,NA,NA,1.5,NA,Steelhead,1,4,0,NA
CBW05583-456106,Upper Grande Ronde,Catherine Creek,CBW05583-456106_0,0,ODFW,Calibration,Mark Recapture,2017-10-24T18:45:00Z,Pool,NA,NA,5,NA,Steelhead,16,12,16,6
CBW05583-456106,Upper Grande Ronde,Catherine Creek,CBW05583-456106_1,1,ODFW,Calibration,Mark Recapture,2017-10-24T18:45:00Z,Pool,NA,NA,5,NA,Steelhead,10,9,7,2
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_7,7,ODFW,Calibration,Depletion,2017-10-25T19:00:00Z,Riffle,NA,NA,6.5,NA,Steelhead,2,5,1,NA
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_8,8,ODFW,Calibration,Mark Recapture,2017-10-25T19:00:00Z,Pool,NA,NA,6.5,NA,Steelhead,7,21,9,3
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_16,16,ODFW,Calibration,Mark Recapture,2017-10-25T19:00:00Z,Run,NA,NA,6.5,NA,Steelhead,6,6,8,4
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_17,17,ODFW,Calibration,Mark Recapture,2017-10-25T19:00:00Z,Riffle,NA,NA,6.5,NA,Steelhead,6,9,8,5
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_18,18,ODFW,Calibration,Mark Recapture,2017-10-25T19:00:00Z,Pool,NA,NA,6.5,NA,Steelhead,13,4,2,1
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_17,17,ODFW,Calibration,Mark Recapture,2017-10-31T18:50:00Z,Pool,NA,NA,2,NA,Steelhead,2,8,4,2
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_19,19,ODFW,Calibration,Depletion,2017-10-31T18:50:00Z,Run,NA,NA,2,NA,Steelhead,2,2,1,0
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_20,20,ODFW,Calibration,Mark Recapture,2017-10-31T18:50:00Z,Pool,NA,NA,2,NA,Steelhead,2,0,1,0
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_1,1,ODFW,Calibration,Mark Recapture,2017-10-30T18:48:00Z,Pool,NA,NA,3,NA,Steelhead,6,6,8,4
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_2,2,ODFW,Calibration,Depletion,2017-10-30T18:48:00Z,Riffle,NA,NA,3,NA,Steelhead,1,7,1,NA
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_3,3,ODFW,Calibration,Mark Recapture,2017-10-30T18:48:00Z,Pool,NA,NA,3,NA,Steelhead,1,1,2,1
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_14,14,ODFW,Calibration,Mark Recapture,2017-11-06T18:40:00Z,Pool,NA,NA,2,NA,Steelhead,3,5,5,2
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_15,15,ODFW,Calibration,Mark Recapture,2017-11-06T18:40:00Z,Riffle,NA,NA,2,NA,Steelhead,5,9,8,4
CBW05583-148970,Upper Grande Ronde,Grande Ronde River,CBW05583-148970_1,1,ODFW,Calibration,Mark Recapture,2017-10-17T19:10:00Z,Riffle,NA,NA,4,NA,Chinook,1,5,5,4
CBW05583-148970,Upper Grande Ronde,Grande Ronde River,CBW05583-148970_2,2,ODFW,Calibration,Mark Recapture,2017-10-17T19:10:00Z,Pool,NA,NA,4,NA,Chinook,6,9,5,4
CBW05583-148970,Upper Grande Ronde,Grande Ronde River,CBW05583-148970_3,3,ODFW,Calibration,Depletion,2017-10-17T19:10:00Z,Riffle,NA,NA,4,NA,Chinook,0,0,0,NA
CBW05583-148970,Upper Grande Ronde,Grande Ronde River,CBW05583-148970_6,6,ODFW,Calibration,Mark Recapture,2017-10-18T19:05:00Z,Pool,NA,NA,4,NA,Chinook,24,20,17,14
CBW05583-148970,Upper Grande Ronde,Grande Ronde River,CBW05583-148970_7,7,ODFW,Calibration,Mark Recapture,2017-10-18T19:05:00Z,Riffle,NA,NA,4,NA,Chinook,0,1,1,1
DSGN4-000009,Upper Grande Ronde,Grande Ronde River,DSGN4-000009_6,6,ODFW,Calibration,Mark Recapture,2017-10-15T18:45:00Z,Run,NA,NA,3.5,NA,Chinook,4,10,9,6
DSGN4-000009,Upper Grande Ronde,Grande Ronde River,DSGN4-000009_5,5,ODFW,Calibration,Mark Recapture,2017-10-16T19:02:00Z,Pool,NA,NA,2,NA,Chinook,27,30,15,11
DSGN4-000009,Upper Grande Ronde,Grande Ronde River,DSGN4-000009_7,7,ODFW,Calibration,Mark Recapture,2017-10-16T19:02:00Z,Pool,NA,NA,2,NA,Chinook,36,42,32,5
DSGN4-000001,Upper Grande Ronde,NF Catherine Creek,DSGN4-000001_6,6,ODFW,Calibration,Mark Recapture,2017-10-23T18:52:00Z,Pool,NA,NA,4,NA,Chinook,53,18,28,5
DSGN4-000001,Upper Grande Ronde,NF Catherine Creek,DSGN4-000001_7,7,ODFW,Calibration,Mark Recapture,2017-10-23T18:52:00Z,Pool,NA,NA,4,NA,Chinook,0,1,1,1
DSGN4-000001,Upper Grande Ronde,NF Catherine Creek,DSGN4-000001_8,8,ODFW,Calibration,Mark Recapture,2017-10-23T18:52:00Z,Riffle,NA,NA,4,NA,Chinook,1,3,3,3
CBW05583-280042,Upper Grande Ronde,Grande Ronde River,CBW05583-280042_4,4,ODFW,Calibration,Depletion,2017-11-16T17:27:00Z,Riffle,NA,NA,1.5,NA,Chinook,2,1,0,NA
CBW05583-280042,Upper Grande Ronde,Grande Ronde River,CBW05583-280042_5,5,ODFW,Calibration,Mark Recapture,2017-11-16T17:27:00Z,Pool,NA,NA,1.5,NA,Chinook,21,23,17,11
CBW05583-280042,Upper Grande Ronde,Grande Ronde River,CBW05583-280042_7,7,ODFW,Calibration,Mark Recapture,2017-11-16T17:27:00Z,Pool,NA,NA,1.5,NA,Chinook,6,20,9,8
CBW05583-280042,Upper Grande Ronde,Grande Ronde River,CBW05583-280042_8,8,ODFW,Calibration,Depletion,2017-11-16T17:27:00Z,Run,NA,NA,1.5,NA,Chinook,1,2,0,NA
CBW05583-456106,Upper Grande Ronde,Catherine Creek,CBW05583-456106_0,0,ODFW,Calibration,Mark Recapture,2017-10-24T18:45:00Z,Pool,NA,NA,5,NA,Chinook,3,13,16,12
CBW05583-456106,Upper Grande Ronde,Catherine Creek,CBW05583-456106_1,1,ODFW,Calibration,Mark Recapture,2017-10-24T18:45:00Z,Pool,NA,NA,5,NA,Chinook,11,13,11,3
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_7,7,ODFW,Calibration,Depletion,2017-10-25T19:00:00Z,Riffle,NA,NA,6.5,NA,Chinook,0,0,0,NA
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_8,8,ODFW,Calibration,Mark Recapture,2017-10-25T19:00:00Z,Pool,NA,NA,6.5,NA,Chinook,24,27,18,12
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_16,16,ODFW,Calibration,Mark Recapture,2017-10-25T19:00:00Z,Run,NA,NA,6.5,NA,Chinook,0,16,19,15
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_17,17,ODFW,Calibration,Mark Recapture,2017-10-25T19:00:00Z,Riffle,NA,NA,6.5,NA,Chinook,0,2,3,2
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_18,18,ODFW,Calibration,Mark Recapture,2017-10-25T19:00:00Z,Pool,NA,NA,6.5,NA,Chinook,0,8,4,4
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_17,17,ODFW,Calibration,Mark Recapture,2017-10-31T18:50:00Z,Pool,NA,NA,2,NA,Chinook,13,19,14,7
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_19,19,ODFW,Calibration,Depletion,2017-10-31T18:50:00Z,Run,NA,NA,2,NA,Chinook,0,0,0,0
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_20,20,ODFW,Calibration,Mark Recapture,2017-10-31T18:50:00Z,Pool,NA,NA,2,NA,Chinook,16,16,14,9
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_1,1,ODFW,Calibration,Mark Recapture,2017-10-30T18:48:00Z,Pool,NA,NA,3,NA,Chinook,16,21,20,12
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_2,2,ODFW,Calibration,Depletion,2017-10-30T18:48:00Z,Riffle,NA,NA,3,NA,Chinook,2,0,0,NA
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_3,3,ODFW,Calibration,Mark Recapture,2017-10-30T18:48:00Z,Pool,NA,NA,3,NA,Chinook,8,8,8,7
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_14,14,ODFW,Calibration,Mark Recapture,2017-11-06T18:40:00Z,Pool,NA,NA,2,NA,Chinook,4,6,4,2
CBW05583-235322,Upper Grande Ronde,Grande Ronde River,CBW05583-235322_15,15,ODFW,Calibration,Mark Recapture,2017-11-06T18:40:00Z,Riffle,NA,NA,2,NA,Chinook,2,8,7,5
CBW05583-090282,Upper Grande Ronde,Catherine Creek,CBW05583-090282_2,2,ODFW,Snorkeling,Snorkel,2017-12-04T00:00:00Z,Pool,Scour Pool,1.18,0.5,0,Chinook,38,NA,NA,NA
CBW05583-090282,Upper Grande Ronde,Catherine Creek,CBW05583-090282_3,3,ODFW,Snorkeling,Snorkel,2017-12-04T00:00:00Z,Riffle,Riffle,1.18,0.5,0,Chinook,11,NA,NA,NA
CBW05583-090282,Upper Grande Ronde,Catherine Creek,CBW05583-090282_4,4,ODFW,Snorkeling,Snorkel,2017-12-04T00:00:00Z,Pool,Scour Pool,1.18,0.5,0,Chinook,13,NA,NA,NA
CBW05583-090282,Upper Grande Ronde,Catherine Creek,CBW05583-090282_6,6,ODFW,Snorkeling,Snorkel,2017-12-04T00:00:00Z,Run,Run,1.18,0.5,0,Chinook,7,NA,NA,NA
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_1,1,ODFW,Snorkeling,Snorkel,2017-11-09T00:00:00Z,Pool,Scour Pool,0.18,1,0.05,Chinook,18,NA,NA,NA
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_10,10,ODFW,Snorkeling,Snorkel,2017-11-09T00:00:00Z,Pool,Plunge Pool,0.18,1,0.05,Chinook,0,NA,NA,NA
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_12,12,ODFW,Snorkeling,Snorkel,2017-11-09T00:00:00Z,Pool,Scour Pool,0.18,1,0,Chinook,0,NA,NA,NA
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_13,13,ODFW,Snorkeling,Snorkel,2017-11-09T00:00:00Z,Pool,Scour Pool,0.18,1,0,Chinook,19,NA,NA,NA
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_15,15,ODFW,Snorkeling,Snorkel,2017-11-09T00:00:00Z,Pool,Scour Pool,0.18,1,0,Chinook,26,NA,NA,NA
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_16,16,ODFW,Snorkeling,Snorkel,2017-11-09T00:00:00Z,Riffle,Riffle,0.18,1,0,Chinook,0,NA,NA,NA
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_17,17,ODFW,Snorkeling,Snorkel,2017-11-09T00:00:00Z,Pool,Scour Pool,0.18,1,0,Chinook,8,NA,NA,NA
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_18,18,ODFW,Snorkeling,Snorkel,2017-11-09T00:00:00Z,Pool,Scour Pool,0.18,1,0,Chinook,8,NA,NA,NA
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_2,2,ODFW,Snorkeling,Snorkel,2017-11-09T00:00:00Z,Riffle,Riffle,0.18,1,0.05,Chinook,0,NA,NA,NA
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_20,20,ODFW,Snorkeling,Snorkel,2017-11-09T00:00:00Z,Pool,Scour Pool,0.18,1,0,Chinook,4,NA,NA,NA
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_3,3,ODFW,Snorkeling,Snorkel,2017-11-09T00:00:00Z,Pool,Scour Pool,0.18,1,0.05,Chinook,8,NA,NA,NA
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_4,4,ODFW,Snorkeling,Snorkel,2017-11-09T00:00:00Z,Pool,Scour Pool,0.18,1,0,Chinook,0,NA,NA,NA
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_5,5,ODFW,Snorkeling,Snorkel,2017-11-09T00:00:00Z,Pool,Scour Pool,0.18,1,0,Chinook,0,NA,NA,NA
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_7,7,ODFW,Snorkeling,Snorkel,2017-11-09T00:00:00Z,Pool,Scour Pool,0.18,1,0.05,Chinook,1,NA,NA,NA
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_8,8,ODFW,Snorkeling,Snorkel,2017-11-09T00:00:00Z,Pool,Scour Pool,0.18,1,0.05,Chinook,2,NA,NA,NA
CBW05583-099818,Upper Grande Ronde,Grande Ronde River,CBW05583-099818_9,9,ODFW,Snorkeling,Snorkel,2017-11-09T00:00:00Z,Pool,Scour Pool,0.18,1,0.05,Chinook,1,NA,NA,NA
CBW05583-138554,Upper Grande Ronde,Sheep Creek,CBW05583-138554_1,1,ODFW,Snorkeling,Snorkel,2017-11-15T00:00:00Z,Pool,Scour Pool,0.06,2,0,Chinook,6,NA,NA,NA
CBW05583-138554,Upper Grande Ronde,Sheep Creek,CBW05583-138554_10,10,ODFW,Snorkeling,Snorkel,2017-11-15T00:00:00Z,Run,Run,0.06,2,0,Chinook,4,NA,NA,NA
CBW05583-138554,Upper Grande Ronde,Sheep Creek,CBW05583-138554_12,12,ODFW,Snorkeling,Snorkel,2017-11-15T00:00:00Z,Pool,Scour Pool,0.06,2,0,Chinook,5,NA,NA,NA
CBW05583-138554,Upper Grande Ronde,Sheep Creek,CBW05583-138554_14,14,ODFW,Snorkeling,Snorkel,2017-11-15T00:00:00Z,Pool,Scour Pool,0.06,2,0.05,Chinook,3,NA,NA,NA
CBW05583-138554,Upper Grande Ronde,Sheep Creek,CBW05583-138554_15,15,ODFW,Snorkeling,Snorkel,2017-11-15T00:00:00Z,Pool,Scour Pool,0.06,2,0,Chinook,1,NA,NA,NA
CBW05583-138554,Upper Grande Ronde,Sheep Creek,CBW05583-138554_16,16,ODFW,Snorkeling,Snorkel,2017-11-15T00:00:00Z,Run,Run,0.06,2,0,Chinook,0,NA,NA,NA
CBW05583-138554,Upper Grande Ronde,Sheep Creek,CBW05583-138554_18,18,ODFW,Snorkeling,Snorkel,2017-11-15T00:00:00Z,Run,Run,0.06,2,0,Chinook,7,NA,NA,NA
CBW05583-138554,Upper Grande Ronde,Sheep Creek,CBW05583-138554_2,2,ODFW,Snorkeling,Snorkel,2017-11-15T00:00:00Z,Riffle,Riffle,0.06,2,0,Chinook,0,NA,NA,NA
CBW05583-138554,Upper Grande Ronde,Sheep Creek,CBW05583-138554_3,3,ODFW,Snorkeling,Snorkel,2017-11-15T00:00:00Z,Run,Run,0.06,2,0,Chinook,2,NA,NA,NA
CBW05583-138554,Upper Grande Ronde,Sheep Creek,CBW05583-138554_4,4,ODFW,Snorkeling,Snorkel,2017-11-15T00:00:00Z,Pool,Scour Pool,0.06,2,0,Chinook,0,NA,NA,NA
CBW05583-138554,Upper Grande Ronde,Sheep Creek,CBW05583-138554_5,5,ODFW,Snorkeling,Snorkel,2017-11-15T00:00:00Z,Pool,Scour Pool,0.06,2,0,Chinook,0,NA,NA,NA
CBW05583-138554,Upper Grande Ronde,Sheep Creek,CBW05583-138554_6,6,ODFW,Snorkeling,Snorkel,2017-11-15T00:00:00Z,Pool,Scour Pool,0.06,2,0,Chinook,0,NA,NA,NA
CBW05583-138554,Upper Grande Ronde,Sheep Creek,CBW05583-138554_9,9,ODFW,Snorkeling,Snorkel,2017-11-15T00:00:00Z,Pool,Scour Pool,0.06,2,0,Chinook,0,NA,NA,NA
CBW05583-138666,Upper Grande Ronde,North Fork Catherine Creek,CBW05583-138666_10,10,ODFW,Snorkeling,Snorkel,2017-12-05T00:00:00Z,Riffle,Riffle,0.86,0.5,0.2,Chinook,0,NA,NA,NA
CBW05583-138666,Upper Grande Ronde,North Fork Catherine Creek,CBW05583-138666_2,2,ODFW,Snorkeling,Snorkel,2017-12-05T00:00:00Z,Pool,Scour Pool,0.86,0.5,0.05,Chinook,0,NA,NA,NA
CBW05583-138666,Upper Grande Ronde,North Fork Catherine Creek,CBW05583-138666_5,5,ODFW,Snorkeling,Snorkel,2017-12-05T00:00:00Z,Run,Run,0.86,0.5,0,Chinook,0,NA,NA,NA
CBW05583-138666,Upper Grande Ronde,North Fork Catherine Creek,CBW05583-138666_6,6,ODFW,Snorkeling,Snorkel,2017-12-05T00:00:00Z,Riffle,Riffle,0.86,0.5,0,Chinook,1,NA,NA,NA
CBW05583-138666,Upper Grande Ronde,North Fork Catherine Creek,CBW05583-138666_7,7,ODFW,Snorkeling,Snorkel,2017-12-05T00:00:00Z,Pool,Scour Pool,0.86,0.5,0.3,Chinook,0,NA,NA,NA
CBW05583-138666,Upper Grande Ronde,North Fork Catherine Creek,CBW05583-138666_9,9,ODFW,Snorkeling,Snorkel,2017-12-05T00:00:00Z,Pool,Plunge Pool,0.86,0.5,0.3,Chinook,3,NA,NA,NA
